Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,INR 599,16 Seats available,"4.6
793",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,08:00,09h 00m,477,11 Seats available,"4.8
1030",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,INR 599,10 Seats available,"4.5
592",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Yolo Bus,Bharat Benz A/C Semi Sleeper (2+2),23:30,09:03,09h 33m,INR 449,32 Seats available,"5.0
5",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:00,07:40,08h 40m,589,7 Seats available,"4.5
588",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:35,08:10,09h 35m,676,2 Seats available,"4.6
510",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Here Bus,AC Seater (2+2),22:25,06:25,08h 00m,2314,45 Seats available,4.0,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
City Land Travels,Volvo A/C Semi Sleeper (2+2),23:55,07:25,07h 30m,540,19 Seats available,"3.7
360",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,06:00,07h 30m,450,11 Seats available,"3.9
400",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:20,07:10,09h 50m,570,11 Seats available,"3.9
391",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,04:30,08h 00m,INR 499,1 Seat available,"4.6
695",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Bedi Travels,Volvo A/C Semi Sleeper (2+2),21:30,05:30,08h 00m,522,3 Seats available,"4.8
990",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),20:30,05:10,08h 40m,651,4 Seats available,"4.7
542",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),22:00,06:40,08h 40m,760,3 Seats available,"4.6
588",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),20:00,07:00,11h 00m,INR 1499,32 Seats available,"4.1
5",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Here Bus,AC Seater (2+2),21:00,05:30,08h 30m,2314,45 Seats available,"4.7
4",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Deltin Travels Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),21:20,04:50,07h 30m,INR 500,8 Seats available,"3.9
5",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Northern Travels,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:45,05:05,07h 20m,INR 1399,49 Seats available, ,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:15,01:20,04h 05m,570,3 Seats available,"4.5
14",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Northern Travels,Volvo A/C Semi Sleeper (2+2),21:45,01:30,03h 45m,INR 600,1 Seat available,3.2,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,03:10,05h 10m,618,11 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Bedi Travels,Volvo A/C Semi Sleeper (2+2),22:05,02:05,04h 00m,585,11 Seats available,4.8,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
